,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3843,3845,Ready 2 Rumble Boxing: Round 2,PS,2000.0,Fighting,Midway Games,0.29,0.2,0.0,0.03,0.52
3845,3847,Mission: Impossible,PS,1999.0,Action,Infogrames,0.29,0.2,0.0,0.03,0.52
3846,3848,Final Fantasy Explorers,3DS,2014.0,Role-Playing,Square Enix,0.15,0.07,0.28,0.02,0.52
3848,3850,Bully: Scholarship Edition,Wii,2008.0,Action,Take-Two Interactive,0.17,0.29,0.0,0.06,0.52
3849,3851,IL-2 Sturmovik: Birds of Prey,X360,2009.0,Simulation,505 Games,0.23,0.24,0.0,0.05,0.52
3851,3853,Ratatouille,PS3,2007.0,Action,THQ,0.09,0.32,0.0,0.11,0.52
3855,3857,J-League Pro Soccer Club o Tsukurou! 3,PS2,2003.0,Sports,Sega,0.0,0.0,0.52,0.0,0.52
3861,3863,Lair,PS3,2007.0,Action,Sony Computer Entertainment,0.36,0.04,0.08,0.04,0.52
3864,3866,Front Mission 3,PS,1999.0,Strategy,SquareSoft,0.1,0.07,0.31,0.03,0.52
3865,3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006.0,Misc,Nintendo,0.0,0.0,0.52,0.0,0.52
3866,3868,SSX On Tour,PS2,2005.0,Sports,Electronic Arts,0.25,0.2,0.0,0.07,0.52
3867,3869,Tony Hawk's Pro Skater 3,GBA,2002.0,Sports,Activision,0.37,0.14,0.0,0.01,0.52
3870,3872,Omega Boost,PS,1999.0,Shooter,Sony Computer Entertainment,0.17,0.11,0.2,0.03,0.52
3872,3874,Iron Man,DS,2008.0,Action,Sega,0.35,0.12,0.0,0.05,0.52
3874,3876,NBA Live 2002,PS,2001.0,Sports,Electronic Arts,0.29,0.19,0.0,0.03,0.52
3877,3879,Way of the Samurai,PS2,2002.0,Action,Eidos Interactive,0.13,0.1,0.25,0.03,0.51
3878,3880,Dragon Age: Origins,PC,2009.0,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.06,0.51
3882,3884,The LEGO Movie Videogame,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.34,0.13,0.0,0.04,0.51
3883,3885,The 3rd Birthday,PSP,2010.0,Role-Playing,Square Enix,0.13,0.07,0.27,0.05,0.51
3885,3887,International Track & Field,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51
3888,3890,StarCraft II: Legacy of the Void,PC,2015.0,Strategy,Activision,0.18,0.29,0.0,0.04,0.51
3889,3891,Tiger Woods PGA Tour 13,X360,2012.0,Sports,Electronic Arts,0.29,0.18,0.0,0.04,0.51
3892,3894,Lords of the Fallen,PS4,2014.0,Role-Playing,Square Enix,0.17,0.23,0.02,0.09,0.51
3899,3901,Virtual Pool,PS,1997.0,Sports,Interplay,0.28,0.19,0.0,0.03,0.51
3905,3907,Dragon Ball: Raging Blast,X360,2009.0,Fighting,Namco Bandai Games,0.36,0.09,0.02,0.04,0.51
3906,3908,Rugrats: Scavenger Hunt,N64,1999.0,Misc,THQ,0.41,0.09,0.0,0.01,0.51
3907,3909,Wrecking Crew,NES,1985.0,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
3910,3912,Monsters vs. Aliens,DS,2009.0,Action,Activision,0.33,0.13,0.0,0.05,0.51
3911,3913,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010.0,Shooter,Activision,0.24,0.19,0.0,0.08,0.51
3913,3915,Lost: Via Domus,PS3,2008.0,Action,Ubisoft,0.19,0.23,0.0,0.09,0.51
3915,3917,Dai-4-Ji Super Robot Taisen S,PS,1996.0,Strategy,Banpresto,0.0,0.0,0.48,0.03,0.51
3917,3919,WWE SmackDown vs. RAW 2007,X360,2006.0,Fighting,THQ,0.44,0.03,0.0,0.04,0.51
3921,3923,Test Drive Unlimited,PSP,2007.0,Racing,Atari,0.08,0.28,0.0,0.15,0.51
3923,3925,Picross DS,DS,2007.0,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51
3924,3926,Final Fantasy II Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
3925,3927,NHL 07,PS2,2006.0,Sports,Electronic Arts,0.42,0.02,0.0,0.07,0.51
3926,3928,Harry Potter and the Half-Blood Prince,PSP,2009.0,Action,Electronic Arts,0.18,0.21,0.0,0.12,0.51
3928,3930,NBA 2K11,Wii,2010.0,Action,Take-Two Interactive,0.47,0.01,0.0,0.03,0.51
3929,3931,World Championship Poker,XB,2004.0,Misc,Crave Entertainment,0.37,0.11,0.0,0.02,0.51
3930,3932,The BIGS,PS2,2007.0,Sports,Take-Two Interactive,0.25,0.19,0.0,0.06,0.51
3931,3933,Final Fantasy,WS,2000.0,Role-Playing,SquareSoft,0.0,0.0,0.51,0.0,0.51
3934,3936,Euro Truck Simulator,PC,2008.0,Simulation,Rondomedia,0.0,0.42,0.0,0.09,0.51
3935,3937,Dragon Ball Z: Supersonic Warriors,GBA,2004.0,Fighting,Atari,0.36,0.13,0.0,0.01,0.51
3937,3939,Paws & Claws: Dogs & Cats Best Friends,DS,2007.0,Simulation,THQ,0.46,0.01,0.0,0.04,0.51
3938,3940,NBA Ballers,XB,2004.0,Sports,Midway Games,0.37,0.11,0.0,0.02,0.51
3939,3941,Silent Hill 4: The Room,PS2,2004.0,Action,Konami Digital Entertainment,0.25,0.19,0.0,0.06,0.51
3940,3942,River Raid II,2600,1988.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.51
3943,3945,Wolfenstein: The New Order,PS3,2014.0,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
3944,3946,Monopoly Party,PS2,2002.0,Misc,Infogrames,0.25,0.19,0.0,0.06,0.51
3945,3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009.0,Adventure,GSP,0.12,0.33,0.0,0.06,0.51
3946,3948,NHL FaceOff 98,PS,1997.0,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.03,0.51
3951,3953,Looney Tunes: Back in Action,PS2,2003.0,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0.0,0.06,0.5
3952,3954,Wet,X360,,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
3954,3956,Alice: Madness Returns,X360,2011.0,Adventure,Electronic Arts,0.27,0.15,0.04,0.04,0.5
3955,3957,Pro Evolution Soccer 2012,X360,2011.0,Action,Konami Digital Entertainment,0.1,0.34,0.0,0.07,0.5
3957,3959,Midnight Club II,XB,2003.0,Racing,Take-Two Interactive,0.42,0.06,0.0,0.02,0.5
3958,3960,Atelier Rorona: Alchemist of Arland,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5
3960,3962,Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,0.14,0.02,0.32,0.02,0.5
3962,3964,Blue's Clues: Blue's Big Musical,PS,2001.0,Misc,THQ,0.28,0.19,0.0,0.03,0.5
3964,3966,Hitman: Blood Money,PS2,2006.0,Action,Eidos Interactive,0.25,0.19,0.0,0.06,0.5
3966,3968,Chopper Command,2600,1982.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.5
3968,3970,Crash: Mind Over Mutant,PS2,2008.0,Platform,Vivendi Games,0.25,0.19,0.0,0.06,0.5
3970,3972,LEGO The Hobbit,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.0,0.04,0.5
3971,3973,Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.34,0.12,0.0,0.04,0.5
3972,3974,Boogie,Wii,2007.0,Misc,Electronic Arts,0.43,0.03,0.0,0.04,0.5
3973,3975,Theatrhythm: Final Fantasy,3DS,2012.0,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5
3974,3976,Bleach: Soul Resurreccion,PS3,2011.0,Fighting,Nippon Ichi Software,0.27,0.11,0.07,0.05,0.5
3976,3978,Rugrats in Paris: The Movie,N64,2000.0,Action,THQ,0.4,0.09,0.0,0.01,0.5
3977,3979,Dance Dance Revolution Universe 2,X360,2007.0,Simulation,Konami Digital Entertainment,0.46,0.01,0.0,0.04,0.5
3979,3981,Tactics Ogre: The Knight of Lodis,GBA,2001.0,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5
3980,3982,Fortune Street,Wii,2011.0,Misc,Nintendo,0.27,0.04,0.17,0.02,0.5
3981,3983,Super Robot Taisen MX,PS2,2004.0,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5
3984,3986,Spider-Man 2,DS,2004.0,Action,Activision,0.41,0.02,0.03,0.04,0.5
3985,3987,Bases Loaded '96: Double Header,PS,1995.0,Sports,Jaleco,0.28,0.19,0.0,0.03,0.5
3986,3988,Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5
3990,3992,The Saboteur,PS3,2009.0,Action,Electronic Arts,0.2,0.22,0.0,0.08,0.5
3996,3998,The Price is Right,DS,2008.0,Misc,Ubisoft,0.46,0.0,0.0,0.04,0.5
3997,3999,Monster Hunter,PS2,2004.0,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5
3998,4000,Cars 2,X360,2011.0,Racing,Disney Interactive Studios,0.28,0.17,0.0,0.05,0.5
4000,4002,Tony Hawk's Underground 2,GC,2004.0,Sports,Activision,0.38,0.1,0.0,0.01,0.5
4001,4003,SplashDown: Rides Gone Wild,PS2,2003.0,Racing,THQ,0.24,0.19,0.0,0.06,0.5
4002,4004,Super Famista 5,SNES,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5
4003,4005,Dynasty Warriors: Gundam 2,PS3,2008.0,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5
4006,4008,Super Robot Taisen Z,PS2,2008.0,Strategy,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5
4007,4009,PoPoLoCrois Monogatari,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5
4008,4010,Tomb Raider: Anniversary,PS2,2007.0,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5
4010,4012,Epic Mickey 2: The Power of Two,PS3,2012.0,Action,Disney Interactive Studios,0.21,0.2,0.0,0.08,0.5
4016,4018,Gauntlet,2600,1982.0,Action,Answer Software,0.46,0.03,0.0,0.01,0.5
4017,4019,Ridge Racer 3D,3DS,2011.0,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5
4018,4020,Cars Mater-National Championship,Wii,2007.0,Racing,THQ,0.46,0.0,0.0,0.04,0.49
4019,4021,Ace Combat: Assault Horizon,X360,2011.0,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49
4023,4025,Tony Hawk's Underground 2,GBA,2004.0,Sports,Activision,0.35,0.13,0.0,0.01,0.49
4024,4026,MotorStorm: Apocalypse,PS3,2011.0,Racing,Sony Computer Entertainment,0.21,0.2,0.0,0.08,0.49
4025,4027,Ice Hockey,2600,1980.0,Sports,Activision,0.46,0.03,0.0,0.01,0.49
4026,4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015.0,Action,Square Enix,0.0,0.0,0.49,0.0,0.49
4027,4029,Lego Batman 3: Beyond Gotham,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.09,0.29,0.0,0.11,0.49
4028,4030,The Matrix: Path of Neo,PS2,2005.0,Action,Atari,0.41,0.01,0.0,0.07,0.49
4029,4031,Kane & Lynch 2: Dog Days,X360,2010.0,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49
4033,4035,Power Rangers: Dino Thunder,GBA,2003.0,Action,THQ,0.35,0.13,0.0,0.01,0.49
4034,4036,GoldenEye: Rogue Agent,XB,2004.0,Shooter,Electronic Arts,0.34,0.13,0.0,0.02,0.49
4035,4037,Ultimate I Spy,Wii,2008.0,Adventure,Scholastic Inc.,0.45,0.0,0.0,0.03,0.49
4036,4038,SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006.0,Platform,THQ,0.45,0.0,0.0,0.04,0.49
4037,4039,The Sims,GC,2003.0,Simulation,Electronic Arts,0.35,0.13,0.0,0.01,0.49
4038,4040,Grandia III,PS2,2005.0,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49
4039,4041,FIFA Soccer 09,DS,2008.0,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49
4040,4042,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006.0,Shooter,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49
4041,4043,Mario & Wario,SNES,1993.0,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49
4043,4045,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009.0,Shooter,Activision,0.24,0.2,0.0,0.05,0.49
4044,4046,Pokemon Art Academy,3DS,2014.0,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49
4047,4049,Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,Activision,0.42,0.02,0.02,0.03,0.49
4048,4050,Medal of Honor,PC,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49
4049,4051,Doom 3 BFG Edition,X360,2012.0,Shooter,Bethesda Softworks,0.28,0.17,0.0,0.04,0.49
4051,4053,Terraria,PS3,2013.0,Action,505 Games,0.07,0.26,0.09,0.07,0.49
4056,4058,LEGO Marvel Super Heroes,DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.28,0.17,0.0,0.04,0.49
4057,4059,Taiko no Tatsujin: Appare Sandaime,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49
4059,4061,One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,0.46,0.03,0.49
4061,4063,Football Manager Handheld 2009,PSP,2008.0,Sports,Sega,0.0,0.47,0.0,0.02,0.49
4062,4064,Sniper: Art of Victory,PC,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49
4068,4070,Die Hard Trilogy 2: Viva Las Vegas,PS,1999.0,Action,Fox Interactive,0.27,0.18,0.0,0.03,0.49
4069,4071,Jake Power: Fireman,DS,2008.0,Adventure,Ubisoft,0.08,0.35,0.0,0.06,0.49
4070,4072,Asphalt 3D,3DS,2011.0,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49
4071,4073,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001.0,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49
4072,4074,Steel Diver,3DS,2011.0,Action,Nintendo,0.31,0.1,0.05,0.03,0.49
4075,4077,Crash of the Titans,DS,2007.0,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.49
4078,4080,Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49
4079,4081,Rayman Raving Rabbids: TV Party,DS,2008.0,Misc,Ubisoft,0.44,0.01,0.0,0.04,0.49
4082,4084,Scene It? Lights Camera Action,X360,2007.0,Misc,Microsoft Game Studios,0.43,0.02,0.0,0.04,0.48
4084,4086,Scrabble 2007 Edition,DS,2007.0,Puzzle,Ubisoft,0.0,0.48,0.0,0.0,0.48
4086,4088,Metal Gear Solid HD Edition,PSV,2012.0,Action,Konami Digital Entertainment,0.16,0.18,0.05,0.09,0.48
4090,4092,The Sims 2: Pets,Wii,2007.0,Simulation,Electronic Arts,0.42,0.03,0.0,0.04,0.48
4091,4093,Mario Golf: World Tour,3DS,2014.0,Sports,Nintendo,0.15,0.14,0.17,0.03,0.48
4093,4095,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.45,0.03,0.48
4096,4098,Millipede,2600,1983.0,Shooter,Atari,0.45,0.03,0.0,0.01,0.48
4097,4099,The Legend of the Mystical Ninja,SNES,1991.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48
4098,4100,You're in the Movies,X360,2008.0,Misc,Microsoft Game Studios,0.27,0.17,0.0,0.05,0.48
4099,4101,Dark Sector,X360,2008.0,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48
4101,4103,Jeopardy!,PS2,2003.0,Misc,Atari,0.24,0.18,0.0,0.06,0.48
4102,4104,Destroy All Humans! 2,PS2,2006.0,Action,THQ,0.4,0.02,0.0,0.07,0.48
4103,4105,ECW Hardcore Revolution,PS,1999.0,Fighting,Acclaim Entertainment,0.27,0.18,0.0,0.03,0.48
4105,4107,Tiger Woods PGA Tour 07,X360,2006.0,Sports,Electronic Arts,0.44,0.0,0.0,0.04,0.48
4111,4113,2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48
4114,4116,All-Star Baseball 99,N64,1998.0,Sports,Acclaim Entertainment,0.44,0.04,0.0,0.0,0.48
4115,4117,Harvest Moon 64,N64,1999.0,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,0.48
4117,4119,Bratz: The Movie,PS2,2007.0,Simulation,THQ,0.24,0.18,0.0,0.06,0.48
4119,4121,Harvest Moon DS (US sales),DS,2005.0,Simulation,Rising Star Games,0.41,0.07,0.0,0.0,0.48
4122,4124,Football Manager 2015,PC,2014.0,Simulation,Sega,0.0,0.43,0.0,0.05,0.48
4123,4125,Theme Park Roller Coaster,PS2,2000.0,Strategy,Electronic Arts,0.23,0.18,0.0,0.06,0.48
4124,4126,Need for Speed: Hot Pursuit,Wii,2010.0,Racing,Electronic Arts,0.18,0.24,0.0,0.05,0.48
4126,4128,Viva Pinata: Trouble in Paradise,X360,2008.0,Simulation,Microsoft Game Studios,0.16,0.25,0.01,0.05,0.48
4130,4132,Spider-Man 3,Wii,2007.0,Platform,Activision,0.42,0.02,0.0,0.04,0.48
4132,4134,Dynasty Warriors Gundam,PS3,2007.0,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.48
4136,4138,Tiger Woods PGA Tour 06,XB,2005.0,Sports,Electronic Arts,0.35,0.11,0.0,0.02,0.48
4139,4141,Grand Prix,2600,1981.0,Racing,Activision,0.45,0.03,0.0,0.0,0.48
4144,4146,Emergency Heroes,Wii,2008.0,Racing,Ubisoft,0.15,0.27,0.0,0.06,0.48
4147,4149,Double Dragon,2600,1989.0,Action,Activision,0.45,0.02,0.0,0.01,0.47
4148,4150,Alien Trilogy,PS,1996.0,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47
4149,4151,NBA Live 99,N64,1998.0,Sports,Electronic Arts,0.45,0.02,0.0,0.0,0.47
4150,4152,Bravely Second: End Layer,3DS,2015.0,Role-Playing,Nintendo,0.16,0.11,0.18,0.03,0.47
4154,4156,X-Men: Next Dimension,PS2,2002.0,Fighting,Activision,0.23,0.18,0.0,0.06,0.47
4158,4160,Hamsterz Life,DS,2006.0,Action,Ubisoft,0.43,0.01,0.0,0.04,0.47
4159,4161,Dragon Age Origins: Awakening,X360,2010.0,Role-Playing,Electronic Arts,0.33,0.1,0.0,0.04,0.47
4160,4162,Super Puyo Puyo 2,SNES,1995.0,Puzzle,Compile,0.0,0.0,0.47,0.0,0.47
4163,4165,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014.0,Fighting,Namco Bandai Games,0.15,0.16,0.09,0.08,0.47
4165,4167,WipEout,PS,1995.0,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47
4166,4168,ICO,PS2,2001.0,Action,Sony Computer Entertainment,0.23,0.18,0.0,0.06,0.47
4167,4169,Silent Hill: Downpour,PS3,2012.0,Action,Konami Digital Entertainment,0.21,0.16,0.04,0.06,0.47
4168,4170,2014 FIFA World Cup Brazil,X360,2014.0,Sports,Electronic Arts,0.14,0.28,0.0,0.04,0.47
4169,4171,WWE SmackDown vs. Raw 2011,Wii,2010.0,Fighting,THQ,0.3,0.13,0.0,0.04,0.47
4170,4172,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011.0,Role-Playing,Square Enix,0.0,0.0,0.47,0.0,0.47
4172,4174,Petz Sports,Wii,2008.0,Simulation,Ubisoft,0.42,0.01,0.0,0.04,0.47
4173,4175,Lego Batman 3: Beyond Gotham,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.23,0.21,0.0,0.04,0.47
4176,4178,Hot Wheels Velocity X,PS2,2002.0,Racing,THQ,0.23,0.18,0.0,0.06,0.47
4177,4179,Shadowrun,X360,2007.0,Role-Playing,Microsoft Game Studios,0.41,0.02,0.0,0.04,0.47
4179,4181,Virtua Tennis 4: World Tour,PSV,2011.0,Sports,Sega,0.05,0.3,0.01,0.12,0.47
4180,4182,"Warhammer 40,000: Dawn of War II",PC,2009.0,Strategy,THQ,0.0,0.45,0.0,0.02,0.47
4181,4183,Crazy Taxi: Fare Wars,PSP,2007.0,Racing,Sega,0.1,0.22,0.02,0.12,0.47
4183,4185,Spider-Man 3,DS,2007.0,Platform,Activision,0.41,0.02,0.0,0.04,0.47
4194,4196,Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47
4195,4197,Rise of Nightmares,X360,2011.0,Action,Sega,0.28,0.13,0.01,0.04,0.47
4196,4198,The Princess and the Frog,Wii,2009.0,Platform,Disney Interactive Studios,0.29,0.13,0.0,0.04,0.47
4197,4199,NBA Ballers: Phenom,PS2,2006.0,Sports,Midway Games,0.23,0.18,0.0,0.06,0.47
4198,4200,Need for Speed Carbon,XB,2006.0,Racing,Electronic Arts,0.35,0.1,0.0,0.02,0.47
4199,4201,Tiger Woods PGA Tour 07,Wii,,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47
4201,4203,FIFA 12,PC,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47
4202,4204,MTV Music Generator,PS,1999.0,Misc,Codemasters,0.26,0.18,0.0,0.03,0.47
4203,4205,Spider-Man: Friend or Foe,DS,2007.0,Action,Activision,0.43,0.0,0.0,0.04,0.47
4204,4206,Major League Baseball 2K13,X360,2013.0,Sports,Take-Two Interactive,0.44,0.0,0.0,0.03,0.47
4206,4208,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.47,0.0,0.47
4207,4209,The Sims 3: Outdoor Living Stuff,PC,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.09,0.47
4208,4210,Cars: Race-O-Rama,PS2,2009.0,Racing,THQ,0.27,0.03,0.0,0.17,0.47
4209,4211,Downhill Domination,PS2,2003.0,Racing,Codemasters,0.23,0.18,0.0,0.06,0.47
4210,4212,NHL 15,X360,2014.0,Sports,Electronic Arts,0.35,0.07,0.0,0.04,0.47
4212,4214,World Series of Poker,PS2,2005.0,Misc,Activision,0.39,0.01,0.0,0.06,0.47
4213,4215,Inazuma Eleven Go 2: Chrono Stone,3DS,2012.0,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47
4214,4216,NHL 97,PS,1996.0,Sports,Electronic Arts,0.26,0.18,0.0,0.03,0.47
4215,4217,We Sing Encore,Wii,2010.0,Misc,Nordic Games,0.0,0.41,0.0,0.06,0.47
4216,4218,Kong: The 8th Wonder of the World,GBA,2005.0,Action,Ubisoft,0.33,0.12,0.0,0.01,0.47
4218,4220,Mega Man Star Force 3: Black Ace / Red Joker,DS,2008.0,Action,Capcom,0.22,0.0,0.22,0.02,0.47
4220,4222,Godzilla: Save the Earth,PS2,2004.0,Fighting,Atari,0.23,0.18,0.0,0.06,0.47
4223,4225,Imagine: Figure Skater (US sales),DS,2007.0,Sports,Ubisoft,0.46,0.01,0.0,0.0,0.47
4224,4226,Mat Hoffman's Pro BMX 2,PS2,2002.0,Sports,Activision,0.23,0.18,0.0,0.06,0.46
4225,4227,Metal Gear Solid: The Essential Collection,PS2,2007.0,Adventure,Konami Digital Entertainment,0.23,0.18,0.0,0.06,0.46
4228,4230,MX vs. ATV Untamed,PS3,2007.0,Racing,THQ,0.35,0.06,0.0,0.05,0.46
4230,4232,Destroy All Humans!,XB,2005.0,Shooter,THQ,0.34,0.11,0.0,0.02,0.46
4231,4233,Dragon Ball Z: Collectible Card Game,GBA,2002.0,Misc,Infogrames,0.33,0.12,0.0,0.01,0.46
4234,4236,Razor Freestyle Scooter,PS,1999.0,Sports,Ubisoft,0.26,0.17,0.0,0.03,0.46
4239,4241,Syphon Filter: Logan's Shadow,PSP,2007.0,Shooter,Sony Computer Entertainment,0.25,0.12,0.0,0.09,0.46
4241,4243,Kessen II,PS2,2001.0,Strategy,THQ,0.13,0.1,0.2,0.03,0.46
4243,4245,Stuart Little 2,GBA,2002.0,Platform,Activision,0.33,0.12,0.0,0.01,0.46
4244,4246,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
4246,4248,Tak 2: The Staff of Dreams,GBA,2004.0,Platform,THQ,0.33,0.12,0.0,0.01,0.46
4247,4249,Art Academy: Lessons for Everyone,3DS,2012.0,Action,Nintendo,0.2,0.03,0.21,0.02,0.46
4252,4254,Brothers In Arms: Earned in Blood,PS2,2005.0,Shooter,Ubisoft,0.38,0.01,0.0,0.06,0.46
4256,4258,Scooby-Doo,GBA,2001.0,Platform,THQ,0.33,0.12,0.0,0.01,0.46
4257,4259,The Legend of Spyro: Dawn of the Dragon,PS3,2008.0,Platform,Vivendi Games,0.19,0.19,0.0,0.08,0.46
4260,4262,American Girl: Kit Mystery Challenge!,DS,2008.0,Adventure,THQ,0.42,0.0,0.0,0.03,0.46
4262,4264,NHL FaceOff '97,PS,1996.0,Sports,Sony Computer Entertainment,0.26,0.17,0.0,0.03,0.46
4267,4269,Gremlins,2600,1983.0,Action,Atari,0.43,0.03,0.0,0.0,0.46
4268,4270,The Mark of Kri,PS2,2002.0,Action,Sony Computer Entertainment,0.22,0.18,0.0,0.06,0.46
4270,4272,Rugrats: Castle Capers,GBA,2001.0,Action,THQ,0.33,0.12,0.0,0.01,0.46
4277,4279,Mad Max (2015),XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.26,0.16,0.0,0.04,0.46
4278,4280,"Barbie: Jet, Set & Style!",DS,2011.0,Misc,THQ,0.37,0.05,0.0,0.03,0.46
4279,4281,Jak and Daxter: The Lost Frontier,PS2,2009.0,Platform,Sony Computer Entertainment,0.22,0.17,0.0,0.06,0.46
4280,4282,Momotarou Dentetsu 11,PS2,2002.0,Misc,Hudson Soft,0.0,0.0,0.46,0.0,0.46
4288,4290,Bloody Roar II,PS,1999.0,Fighting,Virgin Interactive,0.25,0.17,0.0,0.03,0.46
4293,4295,Space Invaders,SNES,1994.0,Shooter,Taito,0.0,0.0,0.46,0.0,0.46
4295,4297,Rayman Legends,X360,2013.0,Platform,Ubisoft,0.19,0.23,0.0,0.04,0.46
4296,4298,Mother 1+2,GBA,2003.0,Role-Playing,Nintendo,0.0,0.0,0.45,0.01,0.46
4297,4299,Hyperdimension Neptunia,PS3,2010.0,Role-Playing,Tecmo Koei,0.22,0.11,0.07,0.05,0.46
4298,4300,iCarly,Wii,2009.0,Adventure,Activision,0.42,0.0,0.0,0.03,0.46
4300,4302,Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,Electronic Arts,0.21,0.2,0.0,0.04,0.46
4302,4304,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.43,0.0,0.0,0.03,0.46
4303,4305,Warhawk,PS,1995.0,Simulation,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.46
4306,4308,DanceStar Party,PS3,2011.0,Misc,Sony Computer Entertainment,0.0,0.35,0.0,0.1,0.46
